TIMESTAMP;HOSTNAME;MODULO;STATUS;METRICA;VALOR;MENSAGEM
2026-06-30 02:13:45;thaisavitoria-Vivobook-ASUSLaptop-M1502YA-M1502YA;REDE_AB;CRITICAL;STATUS_REDE_A;DOWN;Falha de comunicacao com IP 192.0.2.58.
2026-06-30 02:13:46;thaisavitoria-Vivobook-ASUSLaptop-M1502YA-M1502YA;REDE_AB;CRITICAL;STATUS_REDE_B;DOWN;Falha de comunicacao com IP 192.0.2.59.
2026-06-30 02:37:14;thaisavitoria-Vivobook-ASUSLaptop-M1502YA-M1502YA;REDE_AB;OK;STATUS_REDE_A;UP;Rede operacional (Simulado).
2026-06-30 02:37:15;thaisavitoria-Vivobook-ASUSLaptop-M1502YA-M1502YA;REDE_AB;CRITICAL;STATUS_REDE_B;DOWN;Falha na rota 192.0.2.60 (Simulado).
